"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"193","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCCHEV","1","1","2","2023-2024","2","2","","",""
"194","205GP111","ຟີຊິກສາດທົ່ວໄປ","3(2-2-5)","BSCCHEV","1","1","2","2023-2024","3","3","","",""
"195","205PL111","ທົດລອງຟີຊິກສາດ 1","1(0-2-1)","BSCCHEV","1","1","2","2023-2024","1","1","","",""
"196","205SC111","ຄວາມ​ປອດ​ໄພ​ທາງ​ເຄມີ","2(2-0-4)","BSCCHEV","1","1","2","2023-2024","2","2","","",""
"224","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCCHEV","1","2","1","2023-2024","2","2","20","",""
"225","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCCHEV","1","2","2","2023-2024","3","3","","",""
"226","205CH112","​ເຄມີ​ສາດ2","3(3-0-6)","BSCCHEV","1","2","2","2023-2024","3","3","","",""
"227","205CL112","ທົດ​ລອງ​ເຄມີ​ສາດ2","1(0-2-1)","BSCCHEV","1","2","2","2023-2024","1","1","","",""
"228","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCCHEV","1","2","2","2023-2024","2","2","","",""
"229","205ES121","ວິທະຍາສາດສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCHEV","1","2","2","2023-2024","2","2","","",""
"230","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCCHEV","1","2","2","2023-2024","3","3","","",""
